name,role,group_by_key,column_type,categories,units,lower_bound,upper_bound,length,balance_element,basis
Property I0_fraction_sphere,output,False,Real,,,0.0,1.0,,,
Property crystalline_flag,output,False,Categorical,['False'],,,,,,
Property ODE_fraction,ignore,False,Real,,,0.0,1.0,,,
Property I0_sphere,output,False,Real,,,0.0,inf,,,
Property ODE_extra_fraction,input,False,Real,,,0.0,0.3,,,
Property dilute_sphere_flag,output,False,Categorical,"['True', 'False']",,,,,,
Property disordered_flag,output,False,Categorical,"['False', 'True']",,,,,,
Property sigma_sphere,output,False,Real,,,0.0,2.0,,,
Property oleylamine_fraction,input,False,Real,,,0.0,0.3,,,
Property TOP_fraction,input,False,Real,,,0.0,0.3,,,
Property flowrate,input,False,Real,,,20.0,200.0,,,
Property T_set,input,False,Real,,,240.0,320.0,,,
Property r0_sphere,output,False,Real,,,0.0,100.0,,,
